Batch,BTC-USD,SOL-USD,DOGE-USD,SHIB-USD,AVAX-USD,ADA-USD,DOT-USD,ETH-USD
0,24125.79,44.02,0.07649,0.00001614,27.81,0.5574,8.849,1901.82
1,24124.12,44.01,0.07648,0.00001613,27.78,0.5573,8.843,1901.82
2,24124.12,44.01,0.07648,0.00001613,27.78,0.5573,8.846,1901.65
3,24124.12,44.01,0.07646,0.00001613,27.78,0.5572,8.846,1901.54
4,24125.06,44.01,0.0765,0.00001613,27.79,0.5573,8.844,1901.47
5,24125.06,44.01,0.0765,0.00001613,27.78,0.5571,8.843,1901.6
6,24125.61,44.01,0.07651,0.00001612,27.78,0.5573,8.834,1901.61
7,24125.69,44.01,0.07652,0.00001612,27.79,0.5573,8.834,1901.63
8,24125.7,44.01,0.07652,0.00001613,27.78,0.5572,8.839,1901.74
9,24125.7,44.02,0.07652,0.00001612,27.78,0.5572,8.839,1901.77
10,24124.16,44.03,0.07653,0.00001613,27.77,0.5574,8.839,1901.61
11,24124.14,44.03,0.07652,0.00001613,27.75,0.5574,8.839,1901.61
12,24125.02,44.03,0.07652,0.00001613,27.78,0.5573,8.839,1901.58
13,24126.47,44.03,0.07652,0.00001613,27.78,0.5572,8.839,1901.49
14,24126.57,44.03,0.07652,0.00001613,27.78,0.5572,8.841,1901.5
15,24126.65,44.03,0.07653,0.00001614,27.78,0.5572,8.841,1901.69
16,24126.66,44.03,0.07653,0.00001614,27.79,0.5572,8.841,1901.52
17,24124.44,44.02,0.07654,0.00001613,27.79,0.5571,8.841,1901.52
18,24124.43,44.02,0.07654,0.00001614,27.78,0.557,8.841,1901.5
19,24123.75,44.02,0.07654,0.00001614,27.79,0.557,8.841,1901.4
20,24123.73,44.02,0.07655,0.00001614,27.79,0.557,8.841,1901.39
21,24123.64,44.01,0.07655,0.00001615,27.78,0.557,8.842,1901.5
22,24123.64,44.01,0.07655,0.00001615,27.76,0.557,8.844,1901.52
23,24123.55,44.01,0.07655,0.00001614,27.76,0.5571,8.845,1901.52
24,24123.55,44.01,0.07652,0.00001615,27.76,0.5571,8.845,1901.52
25,24124.88,44.03,0.07651,0.00001615,27.76,0.5569,8.845,1901.53
26,24124.88,44.03,0.07655,0.00001614,27.75,0.5569,8.841,1901.64
27,24125.67,44.03,0.07654,0.00001615,27.75,0.557,8.834,1901.48
28,24126.2,44.04,0.07654,0.00001615,27.74,0.5569,8.842,1901.47
29,24126.2,44.04,0.07654,0.00001615,27.74,0.5567,8.834,1901.47
30,24126.37,44.02,0.07654,0.00001615,27.75,0.5569,8.834,1901.6
31,24126.58,44.02,0.07655,0.00001616,27.75,0.5569,8.832,1901.61
32,24126.65,44.02,0.07655,0.00001616,27.75,0.5569,8.832,1901.89
33,24126.66,44,0.07653,0.00001616,27.75,0.5569,8.832,1902.13
34,24126.73,44,0.07654,0.00001616,27.75,0.557,8.832,1902.13
35,24126.71,44,0.07652,0.00001616,27.75,0.557,8.831,1902.15
36,24124.4,44,0.07652,0.00001616,27.75,0.557,8.831,1902.07
37,24126.2,44,0.07652,0.00001617,27.75,0.557,8.832,1901.92
38,24126.59,44,0.07652,0.00001616,27.74,0.5569,8.832,1901.92
39,24126.59,44,0.07651,0.00001615,27.74,0.5569,8.83,1902.35
40,24126.62,44,0.07651,0.00001616,27.74,0.5569,8.833,1902.05
41,24126.73,44,0.0765,0.00001616,27.74,0.5569,8.833,1901.87
42,24126.74,44,0.0765,0.00001616,27.74,0.557,8.836,1901.85
43,24124.42,44,0.0765,0.00001617,27.74,0.5568,8.835,1901.75
44,24124.42,44,0.07649,0.00001617,27.74,0.557,8.835,1901.69
45,24125.94,44,0.07648,0.00001617,27.75,0.557,8.835,1901.86
46,24128.59,44,0.07648,0.00001616,27.75,0.557,8.835,1901.74
47,24128.77,44,0.07645,0.00001616,27.74,0.557,8.835,1901.77
48,24124.86,44,0.07648,0.00001616,27.76,0.557,8.836,1901.77
49,24128.77,43.99,0.07648,0.00001615,27.76,0.557,8.835,1901.99
50,24124.96,43.99,0.07648,0.00001616,27.75,0.5569,8.83,1902.02
51,24124.92,43.99,0.07648,0.00001616,27.74,0.557,8.83,1901.88
52,24130,43.99,0.07648,0.00001616,27.73,0.5571,8.83,1901.87
53,24130.55,43.99,0.07646,0.00001616,27.73,0.5571,8.828,1901.86
54,24130.55,43.99,0.07642,0.00001617,27.73,0.5571,8.828,1901.95
55,24130.54,43.99,0.07643,0.00001617,27.73,0.5571,8.828,1901.99
56,24130.55,43.99,0.07643,0.00001617,27.73,0.5571,8.827,1902.06
57,24130.55,44,0.07643,0.00001616,27.73,0.5573,8.827,1902.16
58,24128.97,44,0.07644,0.00001616,27.73,0.5575,8.827,1902.11
59,24129.54,44,0.07643,0.00001616,27.73,0.5574,8.828,1901.94
60,24129.55,44.01,0.07643,0.00001617,27.73,0.5572,8.828,1901.91
61,24129.55,44,0.07643,0.00001616,27.75,0.5572,8.829,1902.12
62,24128.98,44,0.07643,0.00001616,27.73,0.5571,8.825,1902.12
63,24129.13,44,0.07644,0.00001616,27.73,0.5572,8.828,1902.15
64,24129.13,44.01,0.07644,0.00001617,27.72,0.5572,8.829,1902.15
65,24128.98,44.01,0.07646,0.00001616,27.72,0.5572,8.832,1902.15
66,24128.98,44.01,0.07645,0.00001616,27.72,0.5572,8.833,1902.25
67,24130.34,44.01,0.07646,0.00001616,27.71,0.5572,8.833,1902.32
68,24129.14,44,0.07646,0.00001616,27.72,0.5572,8.833,1902.47
69,24130.82,44.01,0.07648,0.00001615,27.72,0.5572,8.835,1902.07
70,24128.99,43.99,0.07649,0.00001615,27.71,0.5572,8.835,1902.07
71,24127.63,44.01,0.07649,0.00001615,27.71,0.5573,8.835,1902.35
72,24127.64,43.99,0.07649,0.00001615,27.71,0.5574,8.832,1902.39
73,24127.64,43.99,0.07652,0.00001615,,0.5574,8.832,1902.46
74,24127.63,43.98,0.07654,0.00001616,,0.5574,8.834,1902.46
75,24129.35,43.98,0.07654,0.00001616,,0.5572,8.833,1902.46
76,24129.34,43.98,0.07654,0.00001616,,0.5572,8.832,1902.56
77,24129.34,43.98,0.07652,0.00001616,,0.5572,8.831,1902.56
78,24131.38,43.98,0.07652,0.00001616,,0.5573,8.832,1902.56
79,24131.2,43.96,0.07649,0.00001615,,0.5574,8.831,1902.73
80,24131.21,43.98,0.07646,0.00001615,,0.5574,8.831,1902.74
81,24131.07,43.98,0.07646,0.00001615,,0.5574,8.831,1902.56
82,24131.14,43.98,0.07648,0.00001615,,0.5574,8.834,1902.8
83,24131.88,43.98,0.07645,0.00001615,,0.5574,8.834,1902.81
84,24131.88,43.98,0.07647,0.00001615,,0.5574,8.836,1902.82
85,24131.89,43.98,0.07648,0.00001615,,0.5572,,1902.56
86,24129.64,43.98,0.07648,0.00001615,,0.5572,,1902.25
87,24133.01,43.99,0.07649,0.00001615,,0.5572,,1902.49
88,24132.44,43.98,0.07653,0.00001615,,0.5574,,1902.25
89,24132.48,43.98,0.07648,0.00001615,,0.5574,,1902.05
90,24132.93,43.97,0.07652,0.00001615,,0.5572,,1902.05
91,24133.02,43.97,0.07648,0.00001615,,0.5572,,1902.05
92,24133.02,43.97,0.07647,0.00001615,,0.5574,,1902.24
93,24133.02,43.97,0.07646,0.00001614,,0.5574,,1902.24
94,24133.02,43.97,0.07644,0.00001615,,0.5573,,1902
95,24133.37,43.97,0.07644,0.00001614,,0.5571,,1902.11
96,24134.03,43.97,0.07644,0.00001615,,0.5568,,1902.12
97,24134.04,43.97,0.07643,0.00001614,,0.557,,1901.78
